:	label	type
rdfs:subClassOf	subclass of	rdf:Property
owl:deprecated	obsolete	owl:DatatypeProperty
obo:IAO_0000118	alternative term	owl:AnnotationProperty
obo:OBI_9991118	IEDB alternative term	owl:AnnotationProperty
obo:IAO_0100001	replacement	owl:AnnotationProperty
obo:IAO_0000112	example of usage	owl:AnnotationProperty
obo:IAO_0000115	definition	owl:AnnotationProperty
obo:IAO_0000119	definition source	owl:AnnotationProperty
obo:IAO_0000232	curator note	owl:AnnotationProperty
ncbitaxon:has_rank	rank	owl:AnnotationProperty
obo:RO_0002162	in taxon	owl:ObjectProperty
obo:IDO_0000664	has material basis in	owl:ObjectProperty
obo:BFO_0000015	process	owl:Class
obo:GO_0008150	biological process	owl:Class
obo:OBI_0000011	planned process	owl:Class
obo:IAO_0000030	information content entity	owl:Class
obo:OBI_0600007	administering substance in vivo	owl:Class
NCBITaxon:subspecies	subspecies	owl:Class
NCBITaxon:no_rank	no rank	owl:Class
obo:PR_000000001	protein	owl:Class
obo:DOID_4	disease	owl:Class
obo:DOID_0014667	disease of metabolism	owl:Class
obo:DOID_0040088	autoimmune uveitis	owl:Class
obo:DOID_0040095	autoimmune cardiomyopathy	owl:Class
obo:DOID_0050117	infectious disease	owl:Class
obo:DOID_0060499	autoimmune neuropathy	owl:Class
obo:DOID_10003	sensorineural hearing loss	owl:Class
obo:DOID_10974	oophoritis	owl:Class
obo:DOID_1205	allergic disease	owl:Class
obo:DOID_12361	Graves disease	owl:Class
obo:DOID_14566	disease of cellular proliferation	owl:Class
obo:DOID_1459	hypothyroidism	owl:Class
obo:DOID_14654	prostatitis	owl:Class
obo:DOID_15	reproductive system disease	owl:Class
obo:DOID_150	disease of mental health	owl:Class
obo:DOID_17	musculoskeletal system disease	owl:Class
obo:DOID_28	endocrine system disease	owl:Class
obo:DOID_225	syndrome	owl:Class
obo:DOID_229	female reproductive system disease	owl:Class
obo:DOID_2377	multiple sclerosis	owl:Class
obo:DOID_417	autoimmune disease	owl:Class
obo:DOID_437	myasthenia gravis	owl:Class
obo:DOID_48	male reproductive system disease	owl:Class
obo:DOID_630	genetic disease	owl:Class
obo:DOID_639	acute disseminated encephalomyelitis	owl:Class
obo:DOID_863	nervous system disease	owl:Class
obo:DOID_7	disease of anatomical entity	owl:Class
obo:DOID_7188	autoimmune thyroiditis	owl:Class
obo:DOID_77	gastrointestinal system disease	owl:Class
obo:DOID_848	arthritis	owl:Class
obo:DOID_9446	cholangitis	owl:Class
obo:DOID_9808	Goodpasture syndrome	owl:Class
ONTIE:01	root	owl:Class
NCBITaxon:29430	Acinetobacter haemolyticus	owl:Class
NCBITaxon:28090	Acinetobacter lwoffii	owl:Class
NCBITaxon:715	Actinobacillus pleuropneumoniae	owl:Class
NCBITaxon:272636	Adeno-associated virus	owl:Class
NCBITaxon:4573	Aegilops speltoides	owl:Class
NCBITaxon:40050	African horse sickness virus	owl:Class
NCBITaxon:10497	African swine fever virus	owl:Class
NCBITaxon:714	Aggregatibacter actinomycetemcomitans	owl:Class
NCBITaxon:358	Agrobacterium tumefaciens	owl:Class
NCBITaxon:28314	Aleutian mink disease virus	owl:Class
NCBITaxon:5599	Alternaria alternata	owl:Class
NCBITaxon:29715	Ambrosia psilostachya	owl:Class
NCBITaxon:171929	Anacardium occidentale	owl:Class
