:	label	default datatype	cardinality
owl:deprecated	obsolete	xsd:boolean	zero or one
obo:IAO_0100001	replacement	link	zero or one
rdf:type	type	link	one or more
rdfs:label	label		one
obo:IAO_0000118	alternative term		zero or more
obo:IAO_0000115	definition		zero or one
obo:OBI_9991118	IEDB alternative term		zero or one
rdfs:subClassOf	subclass of	link	zero or more
obo:IAO_0000232	curator note		zero or more
ncbitaxon:has_rank	rank	link	zero or one
obo:RO_0002162	in taxon	link	zero or one
ONTIE:0003259	ONTIE domain		zero or one
ONTIE:0003257	protein label		zero or one
ONTIE:0003256	protein taxon	link	zero or one
ONTIE:0003258	parent taxon	link	zero or more
oboInOwl:hasDbXref	xref		zero or more
