ID	Label	Type	Class Type	Parent	Synonyms	Additional Axiom
ID	LABEL	TYPE	CLASS_TYPE	C % SPLIT=|	A alternative term SPLIT=|	C % SPLIT=|
BFO:0000015	process	owl:Class		owl:Thing		
CHEBI:60004	mixture	owl:Class		material entity		
DOID:0014667	disease of metabolism	owl:Class		additional diseases by category		
DOID:0040088	autoimmune uveitis	owl:Class		autoimmune disease		
DOID:0040095	autoimmune cardiomyopathy	owl:Class		autoimmune disease		
DOID:0050117	infectious disease	owl:Class		disease		
DOID:0060499	autoimmune neuropathy	owl:Class		autoimmune disease		
DOID:10003	sensorineural hearing loss	owl:Class		nervous system disease		
DOID:10974	oophoritis	owl:Class		endocrine system disease		
DOID:1205	allergic disease	owl:Class		disease		
DOID:12361	Graves disease	owl:Class		autoimmune disease|endocrine system disease		
DOID:14566	neoplasm	owl:Class		disease		
DOID:1459	hypothyroidism	owl:Class		endocrine system disease		
DOID:14654	prostatitis	owl:Class		male reproductive system disease		
DOID:15	reproductive system disease	owl:Class		disease of anatomical entity		
DOID:150	disease of mental health	owl:Class		additional diseases by category		
DOID:17	musculoskeletal system disease	owl:Class		disease of anatomical entity		
DOID:225	syndrome	owl:Class		additional diseases by category		
DOID:229	female reproductive system disease	owl:Class		reproductive system disease		
DOID:2377	multiple sclerosis	owl:Class		nervous system disease		
DOID:28	endocrine system disease	owl:Class		disease of anatomical entity		
DOID:4	disease	owl:Class		host health status		
DOID:417	autoimmune disease	owl:Class		disease		
DOID:437	myasthenia gravis	owl:Class		autoimmune disease|nervous system disease		
DOID:48	male reproductive system disease	owl:Class		reproductive system disease		
DOID:630	genetic disease	owl:Class		additional diseases by category		
DOID:639	acute disseminated encephalomyelitis	owl:Class		nervous system disease		
DOID:7	disease of anatomical entity	owl:Class		additional diseases by category		
DOID:7188	autoimmune thyroiditis	owl:Class		autoimmune disease|endocrine system disease		
DOID:77	gastrointestinal system disease	owl:Class		disease of anatomical entity		
DOID:848	arthritis	owl:Class		musculoskeletal system disease		
DOID:863	nervous system disease	owl:Class		disease of anatomical entity		
DOID:9446	cholangitis	owl:Class		gastrointestinal system disease		
DOID:9808	Goodpasture syndrome	owl:Class		autoimmune disease		
GO:0008150	biological process	owl:Class		process		
GO:0043234	protein complex	owl:Class		material entity		
IAO:0000030	information content entity	owl:Class		owl:Thing		
NCBITaxon:10009	Tamiasciurus hudsonicus	owl:Class		organism		
NCBITaxon:10036	Mesocricetus auratus	owl:Class		organism		
NCBITaxon:1006061	Duck hepatitis A virus 1	owl:Class		organism		
NCBITaxon:1006063	Duck hepatitis A virus 3	owl:Class		organism		
NCBITaxon:10090	Mus musculus	owl:Class		organism		
NCBITaxon:10116	Rattus norvegicus	owl:Class		organism		
NCBITaxon:10141	Cavia porcellus	owl:Class		organism		
NCBITaxon:10239	Viruses	owl:Class		organism		
NCBITaxon:10243	Cowpox virus	owl:Class		organism		
NCBITaxon:10244	Monkeypox virus	owl:Class		organism		
NCBITaxon:10245	Vaccinia virus	owl:Class		organism		
NCBITaxon:10255	Variola virus	owl:Class		organism		
NCBITaxon:10261	Fowlpox virus	owl:Class		organism		
NCBITaxon:102793	H5N1 subtype	owl:Class		organism		
NCBITaxon:102796	H9N2 subtype	owl:Class		organism		
NCBITaxon:102801	H10N7 subtype	owl:Class		organism		
NCBITaxon:102862	Proteus penneri	owl:Class		organism		
NCBITaxon:10298	Human alphaherpesvirus 1	owl:Class		organism		
NCBITaxon:10306	Human alphaherpesvirus 1 strain KOS	owl:Class		organism		
NCBITaxon:10310	Human alphaherpesvirus 2	owl:Class		organism		
NCBITaxon:10320	Bovine alphaherpesvirus 1	owl:Class		organism		
NCBITaxon:10326	Equid alphaherpesvirus 1	owl:Class		organism		
NCBITaxon:10331	Equid alphaherpesvirus 4	owl:Class		organism		
NCBITaxon:10335	Human alphaherpesvirus 3	owl:Class		organism		
NCBITaxon:10345	Suid alphaherpesvirus 1	owl:Class		organism		
NCBITaxon:10359	Human betaherpesvirus 5	owl:Class		organism		
NCBITaxon:10366	Murid betaherpesvirus 1	owl:Class		organism		
NCBITaxon:10367	Murine cytomegalovirus (strain Smith)	owl:Class		organism		
NCBITaxon:10372	Human betaherpesvirus 7	owl:Class		organism		
NCBITaxon:10376	Human gammaherpesvirus 4	owl:Class		organism		
NCBITaxon:10407	Hepatitis B virus	owl:Class		organism		
NCBITaxon:10432	Woodchuck hepatitis virus 7	owl:Class		organism		
NCBITaxon:104388	Anatid alphaherpesvirus 1	owl:Class		organism		
NCBITaxon:10497	African swine fever virus	owl:Class		organism		
NCBITaxon:10515	Human adenovirus 2	owl:Class		organism		
NCBITaxon:10566	Human papillomavirus	owl:Class		organism		
NCBITaxon:10586	Human papillomavirus type 33	owl:Class		organism		
NCBITaxon:10600	Human papillomavirus type 6b	owl:Class		organism		
NCBITaxon:10623	Kappapapillomavirus 2	owl:Class		organism		
NCBITaxon:10632	JC polyomavirus	owl:Class		organism		
NCBITaxon:10788	Canine parvovirus	owl:Class		organism		
NCBITaxon:10796	Porcine parvovirus	owl:Class		organism		
NCBITaxon:10798	Human parvovirus B19	owl:Class		organism		
NCBITaxon:108098	Human mastadenovirus B	owl:Class		organism		
NCBITaxon:10941	Human rotavirus A	owl:Class		organism		
NCBITaxon:10995	Infectious bursal disease virus	owl:Class		organism		
NCBITaxon:110195	Foot-and-mouth disease virus - type Asia 1	owl:Class		organism		
NCBITaxon:11021	Eastern equine encephalitis virus	owl:Class		organism		
NCBITaxon:11033	Semliki Forest virus	owl:Class		organism		
NCBITaxon:11034	Sindbis virus	owl:Class		organism		
NCBITaxon:11036	Venezuelan equine encephalitis virus	owl:Class		organism		
NCBITaxon:11039	Western equine encephalitis virus	owl:Class		organism		
NCBITaxon:11041	Rubella virus	owl:Class		organism		
NCBITaxon:11048	Lactate dehydrogenase-elevating virus	owl:Class		organism		
NCBITaxon:11049	Lelystad virus	owl:Class		organism		
NCBITaxon:11053	Dengue virus 1	owl:Class		organism		
NCBITaxon:11060	Dengue virus 2	owl:Class		organism		
NCBITaxon:11069	Dengue virus 3	owl:Class		organism		
NCBITaxon:11070	Dengue virus 4	owl:Class		organism		
NCBITaxon:11072	Japanese encephalitis virus	owl:Class		organism		
NCBITaxon:11073	Japanese encephalitis virus strain SA-14	owl:Class		organism		
NCBITaxon:11077	Kunjin virus	owl:Class		organism		
NCBITaxon:11080	Saint Louis encephalitis virus	owl:Class		organism	St. Louis encephalitis virus	
NCBITaxon:11082	West Nile virus	owl:Class		organism		
NCBITaxon:11084	Tick-borne encephalitis virus	owl:Class		organism		
NCBITaxon:11088	Tick-borne encephalitis virus (WESTERN SUBTYPE)	owl:Class		organism		
NCBITaxon:11089	Yellow fever virus	owl:Class		organism		
NCBITaxon:11096	Classical swine fever virus	owl:Class		organism		
NCBITaxon:11099	Bovine viral diarrhea virus 1	owl:Class		organism		
NCBITaxon:11103	Hepacivirus C	owl:Class		organism	Hepatitis C virus	
NCBITaxon:11120	Infectious bronchitis virus	owl:Class		organism		
NCBITaxon:11128	Bovine coronavirus	owl:Class		organism		
NCBITaxon:11135	Feline infectious peritonitis virus	owl:Class		organism		
NCBITaxon:11138	Murine hepatitis virus	owl:Class		organism		
NCBITaxon:11149	Transmissible gastroenteritis virus	owl:Class		organism		
NCBITaxon:11151	Porcine transmissible gastroenteritis coronavirus strain Purdue	owl:Class		organism		
NCBITaxon:11176	Avian avulavirus 1	owl:Class		organism	Newcastle disease virus	
NCBITaxon:11191	Murine respirovirus	owl:Class		organism	Sendai virus	
NCBITaxon:11232	Canine morbillivirus	owl:Class		organism		
