Label	Parent	Equivalent	Definition	Example of Usage	Mapping Note	Synonym
LABEL	SC %	EC %	A definition	A example of usage	A mapping note	
administering substance in vivo	planned process		A planned process by which a material is intentionally given to an organism resulting in exposure of the organism to that substance.		We intend to map this term to OBI:0600007	
administering substance in vivo [OBI:0600007]		administering substance in vivo				
solid tissue transplantation	planned process		A planned process in which solid tissue is transferred to an organism.	The process of surgically attaching a donor kidney into a recipient patient.	OGMS:0000144	solid organ transplant
transfusion	planned process		A planned process in which a bodily fluid is transferred into an organism.	The process of administering donated blood into a recipient patient.	OGMS:0000145	transfusion
vaccination	planned process		Administering a vaccine to an organism with the intention of inducing immunity against antigen components of the vaccine.	Administeration of the annual flu vacccine to a human subject.	VO:0000002	vaccination
documented exposure without evidence for disease	process		A process in which an organism is exposed to a substance which is evident from process having been observed or documented.	A restaurant worker tests positive for presence of Norovirus, but experiences no symptoms of illness.		
environmental exposure to endemic/ubiquitous agent without evidence for disease	process		A process in which an organism's exposure to a material entity is assumed from that material being commonly present in the environment of the organism.	Exposure of a human to Timothy grass pollen in an area where it is known to be common during pollen season without experiencing any allergic symptoms.		
exposure to substance without evidence for disease	process		An unplanned process in which an organism comes into contact with a substance without evidence for a disease caused by that exposure.	Exposure of a human to Timothy grass pollen without any allergic symptoms.		
exposure with existing immune reactivity without evidence for disease	process		A process in which an organism is exposed to a material entity which is evident by a detectable immune reactivity against it.	A restaurant worker tests positive for presence of Norovirus, but experiences no symptoms of illness.	We intend to map this term to OBI:1110061.	
occurrence of asymptomatic infection	biological process		A process in which an infectious agent is in or on the body of an organism without causing detectable disease.	A restaurant worker tests positive for presence of Norovirus, but experiences no symptoms of illness.		
infectious challenge	administering substance in vivo		Administering an infectious agent to an organism in order to test if and how an infection will occurr	Administration of Leishmania major into Balb/c mice after they were immunized with a peptide vaccine in order to test if the vaccine results in less disease symptoms when compared to mice who did not receive the vaccine.	We intend to map this term to OBI:0000712.	
occurrence of autoimmune disease	occurrence of disease		The process in which an autoimmune disease unfolds.	The process of developing increasingly severe joint swelling, pain and disfigurement as rheumatoid arthritis affects a patient.	We intend to map this term to OBI:1110054.	
occurrence of allergy	occurrence of disease		The process in which an allergic disease unfolds.	The process of developing hives after eating shrimp.	We intend to map this term to OBI:1110012.	
occurrence of cancer	occurrence of disease		The process in which cancer unfolds	The process of developing a cough and difficulty breathing as a tumor grows in the airway of a lung cancer patient.	We intend to map this term to OBI:1110053.	
occurrence of cancer associated with virus	occurrence of disease		An occurence of cancer where there is evidence for the presence of a cancer causing oncovirus in the tumor.	The process of human T-lymphotropic virus replicating in a subject prior to their development of adult T-cell leukemia/lymphoma.		
occurrence of disease	biological process		The process in which a disease unfolds.		We intend to map this term to OGMS:0000063.	
occurrence of infectious disease	occurrence of disease		The process in which an infectious disease unfolds.	The process of developing fever, chills, and congestion after being infected with influenza A virus.	We intend to map this term to OBI:1110008.	
disease course	owl:Thing				OGMS:0000063	disease course
post disease course	disease course		A disease course that has ended.		OGMS	
unknown disease course	disease course		A disease course whose status is currently unknown.		OGMS	
other disease course	disease course		A disease course that cannot be described by existing disease course stages.		OGMS	
transplantation or transfusion	administering substance in vivo		Transfering a solid tissue (transplant) or bodily fluid (transfusion) to an organism.	The process of surgically attaching a donor kidney into a recipient patient.	OGMS:0000143	transplantation
unknown	exposure information entity		An organism's lifespan for which there is no available information on an exposure to a material entity of interest.	The lack of information regarding if a human has ever lived in or visted an area where Dengue virus is common.		
no exposure	exposure information entity		An organism's lifspan which does not include exposure to a substance of interest.	The information that a human has never lived in nor visted an area where Dengue virus is common.		
family medical history	information content entity		A medical history of blood relatives.		OGMS	
prenatal maternal abnormality	family medical history		An abnormality of one's mother during one's gestation.		OGMS	
prior pregnancy	host health status		The state or condition of previously having a developing embryo or fetus in the body.		OGMS	
parameter	information content entity					
Starting dilution fold	parameter		The fold change from the starting concentration of a solution being diluted.			
Starting concentration (ug/mL)	parameter		The initial amount of antibody dissolved in the solution being diluted, reported in ug/mL.			
4-PL curve parameter A	parameter		The minimum value that can be obtained.			
4-PL curve parameter B	parameter		Hill's slope of the curve.			
4-PL curve parameter C	parameter		The inflection point.			
4-PL curve parameter D	parameter		The maximum value that can be obtained.			
4-PL curve R2	parameter		A statistical measure of fit that indicates how much variation of a dependent variable is explained by the independent variable(s).			
ethical euthanization	death status				OBI:0000919	animal euthanization
euthanized as planned	death status				OBI:0000919	animal euthanization
unplanned death	death status					
survived until end	death status					
isotype control	material entity					
mock-treated PBS-control	material entity					
PBS	material entity				OBI:0100046	phosphate buffered saline solution
KZ52	material entity					
CR3022	material entity					
convalescent plasma 1	material entity					
convalescent plasma 2	material entity					
negative plasma	material entity					
ULOD (ng/mL)	parameter		The upper limit of detection in ng/ml.			
LLOD (ng/mL)	parameter		The lower limit of detection in ng/ml.			
MPI (%)	parameter		The maximum percent inhibition.			
untreated uninfected control	material entity					
R^2adj	parameter		Adjusted R-squared			
flow cytometry debris	material entity		dead cells and fragments of dead cell material	The debris in a sample of cells being studied by flow cyometry, observable at the bottom left corner of flow cytometry density plot.		
cell-cell complex	material entity		A complex composed of more than one cell.	Cell:cell doublets pairing a T cell and a monocyte isolated from circulating in the peripheral blood that distinguishes individuals with latent TB infection from uninfected individuals (PMID: 29602771).	reactome R-HSA-198933: Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	
monocyte-NK cell complex	cell-cell complex		A cell-cell complex made up of at least one monocyte and one NK cell.			
B cell-neutrophil complex	cell-cell complex		A cell-cell complex made up of at least one B cell and one neutrophil.			
monocyte-neutrophil complex	cell-cell complex		A cell-cell complex made up of at least one monocyte and one neutrophil.			
neutrophil-NK cell complex	cell-cell complex		A cell-cell complex made up of at least one neutrophil and one NK cell.			
neutrophil-T cell complex	cell-cell complex		A cell-cell complex made up of at least one neutrophil and one T cell.			
flow cytometry gate	setting datum		A setting datum consisting of one or more ranges for a given event in a flow cytometry assay, and is used to represent a cell population of interest.	setting the gate for x as forward scatter y and side scatter z (TBD)	gating OBI:0200077	
flow cytometry gate marker range	setting datum		A setting datum that is used as part of a flow cytometry gate to define level at which a specific marker is detected for events that fall within the gate.			
flow cytometry high marker range	flow cytometry gate marker range		A marker range that defines a high signal level.			
flow cytometry low marker range	flow cytometry gate marker range		A marker range that defines a low signal level.			
flow cytometry positive marker range	flow cytometry gate marker range		A marker range that defines a positive signal level.			
flow cytometry negative marker range	flow cytometry gate marker range		A marker range that defines a negative signal level.			
exposure information entity	information content entity		An information content entity that is about an exposure to a substance of interest.			
infected mock-treated PBS-control	material entity					
non infected mock-treated PBS-control	material entity					
geometric mean concentration (ELU/mL)	parameter		The average antibody concentration for a group of subjects calculated by multiplying all values and taking the nth root of this number, where n is the number of subjects with available data.(GMC)			
T cell-B cell complex	cell-cell complex		A cell-cell complex made up of at least one T cell and one B cell.			T:B doublets 
monocyte-B cell complex	cell-cell complex		A cell-cell complex made up of at least one monocyte and one B cell.			M:B doublets (CD19+CD14+) 
B cell-NK cell complex	cell-cell complex		A cell-cell complex made up of at least one B cell and one NK cell.			B:NK doublets (CD19+CD3-CD14-CD56+) 
T cell-monocyte complex	cell-cell complex		A cell-cell complex made up of at least one T cell and one monocyte.			T:M doublets (CD19-CD3+CD14+) 
