Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
LABEL	SC %	A alternative term SPLIT=|	A IEDB alternative term SPLIT=|	A ONTIE domain	SC 'in taxon' some %
1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-2 (Homo sapiens)	protein	PLC-beta-2|phospholipase C-beta-2	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase beta-2	protein	Homo sapiens
10 kDa chaperonin (Mycobacterium leprae)	protein	GroES protein|Protein Cpn10	10 kDa chaperonin	protein	Mycobacterium leprae
10 kDa chaperonin (Mycobacterium tuberculosis)	protein	10 kDa antigen|BCG-A heat shock protein|GroES protein|Protein Cpn10	10 kDa chaperonin	protein	Mycobacterium tuberculosis
10 kDa heat shock protein (Homo sapiens)	protein		10 kDa heat shock protein	protein	Homo sapiens
101 kDa malaria antigen (Plasmodium falciparum)	protein	Acidic basic repeat antigen|p101	101 kDa malaria antigen	protein	Plasmodium falciparum
108K heat shock protein (Gallus gallus)	protein	HSP 108|heat shock protein 108|hsp 108	108K heat shock protein	protein	Gallus gallus
12D3 antigen (Babesia bovis)	protein		12D3 antigen	protein	Babesia bovis
13 kDa protein (Homo sapiens)	protein	IPI00176655	13 kDa protein	protein	Homo sapiens
14-3-3 protein beta (Mus musculus)	protein		14-3-3 protein beta	protein	Mus musculus
17 kDa protein (Homo sapiens)	protein		17 kDa protein	protein	Homo sapiens
170 kDa surface lectin (Entamoeba histolytica)	protein		170 kDa surface lectin	protein	Entamoeba histolytica
2-dehydro-3-deoxygluconokinase (Coxiella burnetii)	protein		2-dehydro-3-deoxygluconokinase	protein	Coxiella burnetii
2-dehydro-3-deoxyphosphooctonate aldolase (Coxiella burnetii)	protein	3-deoxy-D-manno-octulosonic acid 8-phosphate synthase|KDO 8-P synthase|KDO-8-phosphate synthase|KDOPS|Phospho-2-dehydro-3-deoxyoctonate aldolase	2-dehydro-3-deoxyphosphooctonate aldolase	protein	Coxiella burnetii
2'-5'-oligoadenylate synthase 2 (Homo sapiens)	protein		2'-5'-oligoadenylate synthase 2	protein	Homo sapiens
2',3'-cyclic-nucleotide 3'-phosphodiesterase (Mus musculus)	protein	CNP|CNPase	2',3'-cyclic-nucleotide 3'-phosphodiesterase	protein	Mus musculus
23K endopeptidase (Human adenovirus 2)	protein		23K endopeptidase	protein	Human adenovirus 2
25 kDa core protein A12L (Vaccinia virus)	protein		25 kDa core protein A12L	protein	Vaccinia virus
2S seed storage protein 1 (Sesamum indicum)	protein	2S albumin storage protein|Beta-globulin	2S seed storage protein 1	protein	Sesamum indicum
2S sulfur-rich seed storage protein 1 (Bertholletia excelsa)	protein		2S sulfur-rich seed storage protein 1	protein	Bertholletia excelsa
30S ribosomal protein S1 (Mycolicibacterium smegmatis)	protein		30S ribosomal protein S1	protein	Mycolicibacterium smegmatis
35-KDa protein (Plasmodium falciparum)	protein	35KDa	35-KDa protein	protein	Plasmodium falciparum
40S ribosomal protein S25 (Homo sapiens)	protein		40S ribosomal protein S25	protein	Homo sapiens
40S ribosomal protein S7 (Mus musculus)	protein		40S ribosomal protein S7	protein	Mus musculus
5-hydroxytryptamine receptor 3B (Mus musculus)	protein	5-HT3-B|Serotonin receptor 3B	5-hydroxytryptamine receptor 3B	protein	Mus musculus
5-oxoprolinase (Mycobacterium tuberculosis variant bovis)	protein		5-oxoprolinase	protein	Mycobacterium tuberculosis variant bovis
50S ribosomal protein L10 (Mycolicibacterium smegmatis)	protein		50S ribosomal protein L10	protein	Mycolicibacterium smegmatis
50S ribosomal protein L16 (Coxiella burnetii)	protein		50S ribosomal protein L16	protein	Coxiella burnetii
55 kDa immediate-early protein 1 (Human betaherpesvirus 5)	protein		55 kDa immediate-early protein 1	protein	Human betaherpesvirus 5
55-KDa protein (Plasmodium falciparum)	protein	55KDa	55-KDa protein	protein	Plasmodium falciparum
6 kDa early secretory antigenic target (Mycobacterium kansasii)	protein		6 kDa early secretory antigenic target	protein	Mycobacterium kansasii
60 kDa chaperonin (Chlamydia trachomatis)	protein	57 kDa chlamydial hypersensitivity antigen|GroEL protein|HSP60|Heat shock protein 60|Protein Cpn60	60 kDa chaperonin	protein	Chlamydia trachomatis
60 kDa chaperonin (Escherichia coli)	protein	GroEL protein|Protein Cpn60	60 kDa chaperonin	protein	Escherichia coli
60 kDa chaperonin (Mycobacterium avium)	protein		60 kDa chaperonin	protein	Mycobacterium avium
60 kDa chaperonin (Mycobacterium leprae)	protein		60 kDa chaperonin	protein	Mycobacterium leprae
60 kDa chaperonin (Salmonella enterica)	protein	GroEL protein|Protein Cpn60	60 kDa chaperonin	protein	Salmonella enterica
60 kDa chaperonin (Streptococcus sanguinis)	protein	GroEL protein|Protein Cpn60	60 kDa chaperonin	protein	Streptococcus sanguinis
60 kDa chaperonin (Yersinia enterocolitica)	protein		60 kDa chaperonin	protein	Yersinia enterocolitica
60 kDa chaperonin 2 (Mycobacterium tuberculosis variant bovis)	protein	65 kDa antigen|Antigen A|Cell wall protein A|GroEL protein 2|Heat shock protein 65|Protein Cpn60-2	60 kDa chaperonin 2	protein	Mycobacterium tuberculosis variant bovis
60 kDa chaperonin 2 (Mycobacterium tuberculosis)	protein	65 kDa antigen|Antigen A|Cell wall protein A|GroEL protein 2|Heat shock protein 65|Protein Cpn60-2	60 kDa chaperonin 2	protein	Mycobacterium tuberculosis
60 kDa heat shock protein, mitochondrial (Homo sapiens)	protein	60 kDa chaperonin|CPN60|Chaperonin 60|HSP-60|Heat shock protein 60|Hsp60|HuCHA60|Mitochondrial matrix protein P1|P60 lymphocyte protein	60 kDa heat shock protein, mitochondrial	protein	Homo sapiens
60 kDa heat shock protein, mitochondrial (Mus musculus)	protein	60 kDa chaperonin|CPN60|Chaperonin 60|HSP-60|HSP-65|Heat shock protein 60|Hsp60|Mitochondrial matrix protein P1	60 kDa heat shock protein, mitochondrial	protein	Mus musculus
60 kDa SS-A/Ro ribonucleoprotein (Homo sapiens)	protein	60 kDa Ro protein|60 kDa ribonucleoprotein Ro|Ro 60 kDa autoantigen|RoRNP|SS-A|Sjoegren syndrome antigen A2|Sjoegren syndrome type A antigen|TROVE domain family member 2	60 kDa SS-A/Ro ribonucleoprotein	protein	Homo sapiens
60S acidic ribosomal protein P0 (Mus musculus)	protein	60S ribosomal protein L10E	60S acidic ribosomal protein P0	protein	Mus musculus
60S acidic ribosomal subunit protein (Leishmania infantum)	protein		60S acidic ribosomal subunit protein	protein	Leishmania infantum
60S ribosomal protein L13 (Homo sapiens)	protein	Breast basic conserved protein 1	60S ribosomal protein L13	protein	Homo sapiens
60S ribosomal protein L14 (Leishmania donovani)	protein		60S ribosomal protein L14	protein	Leishmania donovani
60S ribosomal protein L22 (Homo sapiens)	protein	EAP|EBER-associated protein|Epstein-Barr virus small RNA-associated protein|Heparin-binding protein HBp15	60S ribosomal protein L22	protein	Homo sapiens
65 kDa heat shock protein (Homo sapiens)	protein		65 kDa heat shock protein	protein	Homo sapiens
65 kDa phosphoprotein (Human betaherpesvirus 5)	protein	65 kDa matrix phosphoprotein|Phosphoprotein UL83|Tegument protein UL83|pp65	65 kDa phosphoprotein	protein	Human betaherpesvirus 5
70 kDa heat shock protein (Trypanosoma cruzi)	protein		70 kDa heat shock protein	protein	Trypanosoma cruzi
75k gamma secalin (Secale cereale)	protein	gamma secalin	75k gamma secalin	protein	Secale cereale
90 kDa protein (Homo sapiens)	protein	IPI00396997	90 kDa protein	protein	Homo sapiens
ABC transporter (Plasmodium berghei)	protein		ABC transporter	protein	Plasmodium berghei
ABC transporter (ATP-binding protein) (Bacillus subtilis)	protein		ABC transporter (ATP-binding protein)	protein	Bacillus subtilis
ABC transporter permease (Bifidobacterium thermacidophilum)	protein		ABC transporter permease	protein	Bifidobacterium thermacidophilum
ABCG2 protein (Homo sapiens)	protein		ABCG2 protein	protein	Homo sapiens
absent in melanoma 2 protein (Homo sapiens)	protein	AIM2	absent in melanoma 2 protein	protein	Homo sapiens
Abundant larval transcript-2 (Brugia malayi)	protein	ALT2	Abundant larval transcript-2	protein	Brugia malayi
Accessory protein p30II (Human T-cell leukemia virus type I)	protein		Accessory protein p30II	protein	Human T-cell leukemia virus type I
acetyl-CoA carboxylase biotin carboxyl carrier protein subunit (Mycobacterium tuberculosis)	protein		acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	protein	Mycobacterium tuberculosis
Acetyl-coenzyme A synthetase ACSM6 (Homo sapiens)	protein	ACSM6|acetyl coenzyme A|synthetase	Acetyl-coenzyme A synthetase ACSM6	protein	Homo sapiens
Acetylcholine receptor subunit alpha (Homo sapiens)	protein		Acetylcholine receptor subunit alpha	protein	Homo sapiens
Acetylcholine receptor subunit alpha (Tetronarce californica)	protein		Acetylcholine receptor subunit alpha	protein	Tetronarce californica
Acetylcholine receptor subunit gamma (Mus musculus)	protein		Acetylcholine receptor subunit gamma	protein	Mus musculus
Acetylcholinesterase (Homo sapiens)	protein	AChE	Acetylcholinesterase	protein	Homo sapiens
Acetylcholinesterase (Narcine timlei)	protein	AChE	Acetylcholinesterase	protein	Narcine timlei
actin related protein 2/3 complex subunit 1A (Homo sapiens)	protein		actin related protein 2/3 complex subunit 1A	protein	Homo sapiens
Actin, cytoplasmic 2 (Homo sapiens)	protein	Gamma-actin	Actin, cytoplasmic 2	protein	Homo sapiens
