Label	Parent	Taxonomic Rank	Alternative term	Domain	Cross-Ref	Comment
LABEL	SC % SPLIT=|	AI has rank	A alternative term SPLIT=|	A ONTIE domain	AI database_cross_reference	A rdfs:comment
Acinetobacter haemolyticus strain 57	Acinetobacter haemolyticus	subspecies		taxon	
Acinetobacter haemolyticus strain 61	Acinetobacter haemolyticus	subspecies		taxon	
Acinetobacter lwoffii F78	Acinetobacter lwoffii	subspecies	F78	taxon	
Aggregatibacter actinomycetemcomitans C59A	Aggregatibacter actinomycetemcomitans	subspecies	C59A|nonserotypeable (x)	taxon	
Aggregatibacter actinomycetemcomitans OMZ 346	Aggregatibacter actinomycetemcomitans	subspecies	Actinobacillus actinomycetemcomitans OMZ 346	taxon	
Aggregatibacter actinomycetemcomitans serotype a str. CDC A1916	Aggregatibacter actinomycetemcomitans	subspecies	ATCC 29523|Kilian 2006|Klinger 1912|Nørskov-Lauritsen	taxon	
Aggregatibacter actinomycetemcomitans serotype b str. Y4	Aggregatibacter actinomycetemcomitans	subspecies	Y4	taxon	
Aggregatibacter actinomycetemcomitans serotype c str. CDC NCTC 9710	Aggregatibacter actinomycetemcomitans	subspecies	ATCC 33384|Kilian 2006|Klinger 1912|Nørskov-Lauritsen	taxon	
Aggregatibacter actinomycetemcomitans serotype f str. CU1000	Aggregatibacter actinomycetemcomitans	subspecies	CU1000	taxon	
Agrobacterium tumefaciens (strain Rv3)	Agrobacterium tumefaciens	subspecies	Rhizobium radiobacter strain Rv3|Rv3	taxon	
Ajellomyces dermatitidis ATCC 60636	Blastomyces dermatitidis	subspecies		taxon	
Aleutian mink disease virus Type IV	Aleutian mink disease virus	subspecies		taxon	
Anaplasma marginale South Idaho	Anaplasma marginale	subspecies		taxon	
Anaplasma phagocytophilum Old Sourhope	Anaplasma phagocytophilum	subspecies	AP-OS	taxon	
Anatid herpesvirus 1 Clone-03	Anatid alphaherpesvirus 1	subspecies	strain 03	taxon	
Andes virus CHI-7913	Andes orthohantavirus	subspecies		taxon	
Arcanobacterium pyogenes Strain 42	Trueperella pyogenes	subspecies	Arcanobacterium pyogenes Strain No.42	taxon	
Aspergillus flavus ATCC 10124	Aspergillus flavus	subspecies		taxon	
