Label	Parent	Equivalent
LABEL	SC % SPLIT=|	EC %
acute disseminated encephalomyelitis	nervous system disease
allergic disease	disease
arthritis	musculoskeletal system disease
autoimmune cardiomyopathy	autoimmune disease
autoimmune disease	disease
autoimmune neuropathy	autoimmune disease
autoimmune thyroiditis	autoimmune disease|endocrine system disease
autoimmune uveitis	autoimmune disease
cholangitis	gastrointestinal system disease
disease	host health status
disease of anatomical entity	additional diseases by category
disease of mental health	additional diseases by category
disease of metabolism	additional diseases by category
endocrine system disease	disease of anatomical entity
female reproductive system disease	reproductive system disease
gastrointestinal system disease	disease of anatomical entity
genetic disease	additional diseases by category
Goodpasture syndrome	autoimmune disease
Graves disease	autoimmune disease|endocrine system disease
hypothyroidism	endocrine system disease
infectious disease	disease
male reproductive system disease	reproductive system disease
multiple sclerosis	nervous system disease
musculoskeletal system disease	disease of anatomical entity
myasthenia gravis	autoimmune disease|nervous system disease
neoplasm	disease
nervous system disease	disease of anatomical entity
oophoritis	endocrine system disease
prostatitis	male reproductive system disease
reproductive system disease	disease of anatomical entity
sensorineural hearing loss	nervous system disease
syndrome	additional diseases by category
Tamiasciurus hudsonicus	organism
Mesocricetus auratus	organism
Duck hepatitis A virus 1	organism
Duck hepatitis A virus 3	organism
Mus musculus	organism
Rattus norvegicus	organism
Cavia porcellus	organism
Viruses	organism
Cowpox virus	organism
Monkeypox virus	organism
Vaccinia virus	organism
Variola virus	organism
Fowlpox virus	organism
H5N1 subtype	organism
H9N2 subtype	organism
H10N7 subtype	organism
Proteus penneri	organism
Human alphaherpesvirus 1	organism
Human alphaherpesvirus 1 strain KOS	organism
Human alphaherpesvirus 2	organism
Bovine alphaherpesvirus 1	organism
Equid alphaherpesvirus 1	organism
Equid alphaherpesvirus 4	organism
Human alphaherpesvirus 3	organism
Suid alphaherpesvirus 1	organism
Human betaherpesvirus 5	organism
Murid betaherpesvirus 1	organism
Murine cytomegalovirus (strain Smith)	organism
Human betaherpesvirus 7	organism
Human gammaherpesvirus 4	organism
Hepatitis B virus	organism
Woodchuck hepatitis virus 7	organism
Anatid alphaherpesvirus 1	organism
African swine fever virus	organism
Human adenovirus 2	organism
Human papillomavirus	organism
Human papillomavirus type 33	organism
Human papillomavirus type 6b	organism
Kappapapillomavirus 2	organism
JC polyomavirus	organism
Canine parvovirus	organism
Porcine parvovirus	organism
Human parvovirus B19	organism
Human mastadenovirus B	organism
Human rotavirus A	organism
Infectious bursal disease virus	organism
Foot-and-mouth disease virus - type Asia 1	organism
Eastern equine encephalitis virus	organism
Semliki Forest virus	organism
Sindbis virus	organism
Venezuelan equine encephalitis virus	organism
Western equine encephalitis virus	organism
Rubella virus	organism
Lactate dehydrogenase-elevating virus	organism
Lelystad virus	organism
Dengue virus 1	organism
Dengue virus 2	organism
Dengue virus 3	organism
Dengue virus 4	organism
Japanese encephalitis virus	organism
Japanese encephalitis virus strain SA-14	organism
Kunjin virus	organism
Saint Louis encephalitis virus	organism
West Nile virus	organism
Tick-borne encephalitis virus	organism
Tick-borne encephalitis virus (WESTERN SUBTYPE)	organism
Yellow fever virus	organism
Classical swine fever virus	organism
Bovine viral diarrhea virus 1	organism
Hepacivirus C	organism
Infectious bronchitis virus	organism
Bovine coronavirus	organism
Feline infectious peritonitis virus	organism
Murine hepatitis virus	organism
Transmissible gastroenteritis virus	organism
Porcine transmissible gastroenteritis coronavirus strain Purdue	organism
Avian avulavirus 1	organism
Murine respirovirus	organism
Canine morbillivirus	organism
Measles morbillivirus	organism
Phocine morbillivirus	organism
Rinderpest morbillivirus	organism
Bovine orthopneumovirus	organism
Human orthopneumovirus	organism
Rabies lyssavirus	organism
Bovine ephemeral fever virus	organism
Influenza A virus	organism
H1N1 subtype	organism
H1N2 subtype	organism
H2N8 subtype	organism
Pythium insidiosum	organism
Influenza B virus	organism
Rift Valley fever virus	organism
Puumala virus Hallnas B1	organism
Norovirus GIV.1	organism
Lassa mammarenavirus	organism
Lassa virus Josiah	organism
Lymphocytic choriomeningitis mammarenavirus	organism
Lymphocytic choriomeningitis virus (strain Armstrong)	organism
Lymphocytic choriomeningitis virus (strain WE)	organism
Machupo mammarenavirus	organism
Reticuloendotheliosis virus	organism
Caprine arthritis encephalitis virus	organism
Equine infectious anemia virus	organism
Feline immunodeficiency virus	organism
Human immunodeficiency virus 1	organism
Human immunodeficiency virus 2	organism
Simian immunodeficiency virus - mac	organism
Simian immunodeficiency virus - sm	organism
Simian immunodeficiency virus	organism
Mouse mammary tumor virus	organism
Feline leukemia virus	organism
Murine leukemia virus	organism
Moloney murine leukemia virus	organism
Human endogenous retrovirus	organism
Avian leukosis virus	organism
Rous sarcoma virus	organism
Bovine leukemia virus	organism
Human T-cell leukemia virus type I	organism
Human T-lymphotropic virus 2	organism
H3N2 subtype	organism
H6N1 subtype	organism
H6N2 subtype	organism
H7N2 subtype	organism
H7N7 subtype	organism
H5N2 subtype	organism
H5N3 subtype	organism
Human T-cell lymphotrophic virus type 1 (Caribbean isolate)	organism
Streptococcus dysgalactiae subsp. equisimilis	organism
Rabbit hemorrhagic disease virus	organism
Norwalk virus	organism
Francisella tularensis subsp. tularensis	organism
Echovirus E6	organism
Enterovirus E	organism
Coxsackievirus B3	organism
Coxsackievirus B4	organism
Swine vesicular disease virus	organism
Human poliovirus 1	organism
Human poliovirus 2	organism
Human poliovirus 3	organism
Human hepatitis A virus Hu/Australia/HM175/1976	organism
Encephalomyocarditis virus	organism
Foot-and-mouth disease virus	organism
Foot-and-mouth disease virus - type A	organism
Foot-and-mouth disease virus (strain A5)	organism
Foot-and-mouth disease virus - type C	organism
Foot-and-mouth disease virus - type O	organism
Foot-and-mouth disease virus C1	organism
Foot-and-mouth disease virus - type SAT 1	organism
Foot-and-mouth disease virus - type SAT 3	organism
Theiler's encephalomyelitis virus	organism
Theiler's encephalomyelitis virus (STRAIN BEAN 8386)	organism
Human rhinovirus A2	organism
Human rhinovirus A89	organism
Paracoccidioides brasiliensis	organism
Plum pox virus	organism
Potato virus Y	organism
Tobacco mosaic virus	organism
Neisseria meningitidis MC58	organism
Norovirus GI	organism
Norovirus GII	organism
Cucumber mosaic virus	organism
Borna disease virus	organism
Hepatitis E virus	organism
Hepatitis delta virus	organism
Duck hepatitis B virus	organism
Ectromelia virus	organism
Equid gammaherpesvirus 2	organism
Vibrio cholerae O1	organism
H11N1 subtype	organism
Staphylococcus aureus	organism
Variola major virus	organism
Pseudomonas amygdali pv. morsprunorum	organism
Pseudomonas syringae pv. tagetis	organism
Streptococcus	organism
Streptococcus oralis	organism
Streptococcus salivarius	organism
Streptococcus sanguinis	organism
Streptococcus suis	organism
Streptococcus mutans	organism
Streptococcus sobrinus	organism
Streptococcus agalactiae	organism
Streptococcus pneumoniae	organism
Streptococcus pyogenes	organism
Streptococcus downei	organism
Parietaria officinalis	organism
Streptococcus sp. 'group B'	organism
Influenza A virus (A/X-31(H3N2))	organism
Streptococcus anginosus	organism
Theromyzon tessulatum	organism
Streptococcus criceti	organism
Streptococcus dysgalactiae	organism
Porcine circovirus 1	organism
Streptococcus ratti	organism
Chamaecyparis obtusa	organism
Corylus avellana	organism
Paraburkholderia fungorum	organism
Human parvovirus	organism
Neisseria meningitidis serogroup C	organism
Concholepas concholepas	organism
Mumps virus genotype G	organism
Enterovirus A	organism
Borreliella burgdorferi	organism
Bacillus amyloliquefaciens	organism
Bacillus anthracis	organism
Duck Tembusu virus	organism
Bacillus subtilis	organism
Norovirus	organism
Bacillus thuringiensis	organism
H8N4 subtype	organism
H12N5 subtype	organism
Clostridium botulinum	organism
Salmonella enterica subsp. enterica serovar Enteritidis	organism
Clostridioides difficile	organism
Clostridium perfringens	organism
Clostridium tetani	organism
Clostridium beijerinckii	organism
Ebola virus	organism
H3N1 subtype	organism
